atom,orbital,r_bohr,R
Ar,1s,0.000253234311491,147.943259832
Ar,1s,0.00025484408281,147.941314369
Ar,1s,0.000256464087196,147.939345158
Ar,1s,0.0002580943897,147.93735192
Ar,1s,0.000259735055784,147.935334377
Ar,1s,0.000261386151328,147.933292247
Ar,1s,0.000263047742631,147.931225244
Ar,1s,0.000264719896413,147.929133081
Ar,1s,0.000266402679817,147.927015466
Ar,1s,0.000268096160416,147.924872105
Ar,1s,0.000269800406208,147.922702702
Ar,1s,0.000271515485627,147.920506956
Ar,1s,0.00027324146754,147.918284564
Ar,1s,0.000274978421253,147.916035221
Ar,1s,0.000276726416512,147.913758616
Ar,1s,0.000278485523506,147.911454438
Ar,1s,0.000280255812871,147.90912237
Ar,1s,0.000282037355692,147.906762096
Ar,1s,0.000283830223505,147.904373291
Ar,1s,0.0002856344883,147.901955633
Ar,1s,0.000287450222528,147.899508792
Ar,1s,0.000289277499097,147.897032437
Ar,1s,0.000291116391381,147.894526234
Ar,1s,0.000292966973218,147.891989844
Ar,1s,0.000294829318917,147.889422927
Ar,1s,0.00029670350326,147.886825138
Ar,1s,0.000298589601502,147.88419613
Ar,1s,0.000300487689379,147.88153555
Ar,1s,0.000302397843107,147.878843045
Ar,1s,0.000304320139386,147.876118258
Ar,1s,0.000306254655405,147.873360826
Ar,1s,0.000308201468844,147.870570385
Ar,1s,0.000310160657873,147.867746568
Ar,1s,0.000312132301165,147.864889002
Ar,1s,0.000314116477887,147.861997314
Ar,1s,0.000316113267714,147.859071124
Ar,1s,0.000318122750824,147.856110052
Ar,1s,0.000320145007908,147.853113711
Ar,1s,0.000322180120167,147.850081714
Ar,1s,0.000324228169319,147.847013667
Ar,1s,0.000326289237603,147.843909176
Ar,1s,0.000328363407779,147.840767841
Ar,1s,0.000330450763134,147.837589258
Ar,1s,0.000332551387483,147.834373023
Ar,1s,0.000334665365177,147.831118725
Ar,1s,0.000336792781099,147.82782595
Ar,1s,0.000338933720675,147.824494282
Ar,1s,0.000341088269873,147.821123299
Ar,1s,0.000343256515206,147.817712579
Ar,1s,0.000345438543739,147.814261692
Ar,1s,0.00034763444309,147.810770208
Ar,1s,0.000349844301433,147.807237692
Ar,1s,0.000352068207504,147.803663705
Ar,1s,0.000354306250601,147.800047805
Ar,1s,0.000356558520592,147.796389546
Ar,1s,0.000358825107914,147.792688479
Ar,1s,0.000361106103581,147.78894415
Ar,1s,0.000363401599185,147.785156104
Ar,1s,0.000365711686899,147.78132388
Ar,1s,0.000368036459482,147.777447015
Ar,1s,0.000370376010286,147.77352504
Ar,1s,0.000372730433251,147.769557485
Ar,1s,0.000375099822919,147.765543875
Ar,1s,0.00037748427443,147.761483733
Ar,1s,0.000379883883531,147.757376576
Ar,1s,0.000382298746575,147.753221919
Ar,1s,0.000384728960529,147.749019273
Ar,1s,0.000387174622978,147.744768146
Ar,1s,0.000389635832124,147.740468043
Ar,1s,0.000392112686795,147.736118463
Ar,1s,0.000394605286449,147.731718903
Ar,1s,0.000397113731172,147.727268858
Ar,1s,0.000399638121691,147.722767817
Ar,1s,0.000402178559369,147.718215267
Ar,1s,0.000404735146216,147.713610692
Ar,1s,0.00040730798489,147.70895357
Ar,1s,0.000409897178701,147.704243379
Ar,1s,0.000412502831617,147.699479592
Ar,1s,0.000415125048265,147.694661679
Ar,1s,0.000417763933938,147.689789105
Ar,1s,0.000420419594599,147.684861335
Ar,1s,0.000423092136883,147.679877828
Ar,1s,0.000425781668106,147.67483804
Ar,1s,0.000428488296261,147.669741427
Ar,1s,0.000431212130033,147.664587437
Ar,1s,0.000433953278795,147.659375519
Ar,1s,0.000436711852615,147.654105117
Ar,1s,0.000439487962262,147.648775671
Ar,1s,0.000442281719208,147.643386622
Ar,1s,0.000445093235635,147.637937403
Ar,1s,0.000447922624436,147.632427447
Ar,1s,0.000450769999224,147.626856184
Ar,1s,0.000453635474333,147.621223042
Ar,1s,0.000456519164823,147.615527443
Ar,1s,0.000459421186488,147.609768811
Ar,1s,0.000462341655855,147.603946563
Ar,1s,0.000465280690194,147.598060116
Ar,1s,0.000468238407519,147.592108885
Ar,1s,0.000471214926595,147.58609228
Ar,1s,0.000474210366942,147.580009711
Ar,1s,0.00047722484884,147.573860584
Ar,1s,0.000480258493333,147.567644304
Ar,1s,0.000483311422234,147.561360274
Ar,1s,0.000486383758132,147.555007894
Ar,1s,0.000489475624393,147.548586563
Ar,1s,0.00049258714517,147.542095677
Ar,1s,0.000495718445402,147.535534631
Ar,1s,0.000498869650826,147.528902817
Ar,1s,0.000502040887974,147.522199628
Ar,1s,0.000505232284186,147.515424452
Ar,1s,0.00050844396761,147.508576679
Ar,1s,0.000511676067208,147.501655695
Ar,1s,0.000514928712763,147.494660886
Ar,1s,0.000518202034883,147.487591636
Ar,1s,0.000521496165004,147.480447329
Ar,1s,0.000524811235401,147.473227347
Ar,1s,0.000528147379187,147.465931072
Ar,1s,0.000531504730322,147.458557885
